EmployeeID,Password,FirstName,Surname,Role,hoursWorked,EmailAddress
1,password,John,Swift,Manager,40,JohnSwift@gmail.com
2,password,Robert,Lee,"Assistant Manager",35,RobertLee@gmail.com
3,password,Liam,White,Supervisor,30,LiamWhite@gmail.com
4,password,Chloe,Martin,Supervisor,30,ChloeMartin@gmail.com
5,password,Eli,Scott,"Shop Assistant",25,EliScott@gmail.com
6,password,Zoe,Adams,"Shop Assistant",25,ZoeAdams@gmail.com
7,password,Jackson,Nelson,"Shop Assistant",25,JacksonNelson@gmail.com
8,password,Victoria,Carter,"Shop Assistant",25,VictoriaCarter@gmail.com
9,password,Leo,Mitchell,"Shop Assistant",25,LeoMitchell@gmail.com
10,password,Lily,Perez,"Shop Assistant",25,LilyPerez@gmail.com
11,password,Jane,Doe,Manager,40,JaneDoe@gmail.com
12,password,Sophia,Kim,"Assistant Manager",35,SophiaKim@gmail.com
13,password,Lucas,Lee,Supervisor,30,LucasLee@gmail.com
14,password,Mia,Perez,Supervisor,30,MiaPerez@gmail.com
15,password,Alexander,Thompson,"Shop Assistant",25,AlexanderThompson@gmail.com
16,password,Ella,Lopez,"Shop Assistant",25,EllaLopez@gmail.com
17,password,Benjamin,Clark,"Shop Assistant",25,BenjaminClark@gmail.com
18,password,Grace,Walker,"Shop Assistant",25,GraceWalker@gmail.com
19,password,Jack,Allen,"Shop Assistant",25,JackAllen@gmail.com
20,password,Harper,Young,"Shop Assistant",25,HarperYoung@gmail.com
21,password,Michael,Johnson,Manager,40,MichaelJohnson@gmail.com
22,password,William,Lopez,"Assistant Manager",35,WilliamLopez@gmail.com
23,password,Ethan,Thomas,Supervisor,30,EthanThomas@gmail.com
24,password,Isabella,Anderson,Supervisor,30,IsabellaAnderson@gmail.com
25,password,Ethan,Campbell,"Shop Assistant",25,EthanCampbell@gmail.com
26,password,Amelia,Baker,"Shop Assistant",25,AmeliaBaker@gmail.com
27,password,Oliver,Edwards,"Shop Assistant",25,OliverEdwards@gmail.com
28,password,Isabella,Graham,"Shop Assistant",25,IsabellaGraham@gmail.com
29,password,Henry,Evans,"Shop Assistant",25,HenryEvans@gmail.com
30,password,Mason,Turner,"Shop Assistant",25,MasonTurner@gmail.com
31,password,Emily,Williams,Manager,40,EmilyWilliams@gmail.com
32,password,Olivia,Gonzalez,"Assistant Manager",35,OliviaGonzalez@gmail.com
33,password,Ella,Martin,Supervisor,30,EllaMartin@gmail.com
34,password,Lucas,Rodriguez,Supervisor,30,LucasRodriguez@gmail.com
35,password,Lily,Parker,"Shop Assistant",25,LilyParker@gmail.com
36,password,Nolan,Collins,"Shop Assistant",25,NolanCollins@gmail.com
